id,donor_id,committee_id,amount,date,raw,is_fake
54,299,150,16096.5,2025-08-14,{},True
55,1226,343,27283.32,2024-10-20,{},True
56,964,363,22551.12,2023-10-20,{},True
57,932,101,27217.37,2024-03-13,{},True
58,1519,94,34575.9,2024-03-31,{},True
59,398,485,25147.39,2024-11-25,{},True
60,132,144,21637.23,2025-06-25,{},True
61,1217,82,8329.4,2025-10-01,{},True
62,329,485,26527.43,2024-11-06,{},True
63,457,101,26126.09,2025-07-01,{},True
64,1611,43,9882.58,2025-03-01,{},True
65,1923,476,16305.31,2025-01-24,{},True
66,1479,84,10912.66,2023-12-24,{},True
67,1232,15,19269.86,2024-04-18,{},True
68,994,349,1418.95,2024-05-22,{},True
69,1190,442,35283.82,2025-08-02,{},True
70,1883,419,42581.49,2025-06-21,{},True
71,1798,369,34387.58,2025-07-11,{},True
72,570,154,3766.79,2024-01-19,{},True
73,638,174,46225.88,2025-05-26,{},True
74,380,303,49368.02,2023-12-22,{},True
75,516,416,18515.57,2025-04-19,{},True
76,907,346,1362.82,2025-05-18,{},True
77,1363,422,32268.91,2024-02-16,{},True
78,452,295,35326.3,2024-05-01,{},True
79,1854,448,34882.09,2024-10-10,{},True
80,714,18,14013.12,2025-04-19,{},True
81,1862,81,34722.18,2025-09-21,{},True
82,1257,355,9499.12,2023-11-19,{},True
83,1317,489,22981.08,2024-07-29,{},True
84,232,181,46161.08,2023-10-27,{},True
85,1760,176,27663.2,2024-07-15,{},True
86,1664,373,44247.7,2024-11-25,{},True
87,1770,120,10400.78,2024-09-26,{},True
88,1070,229,25447.79,2025-02-22,{},True
89,1932,299,18292.29,2024-08-01,{},True
90,1279,41,36581.68,2024-03-10,{},True
91,1652,475,30490.01,2024-11-08,{},True
92,698,125,38134.1,2024-12-24,{},True
93,1187,328,37241.84,2025-10-13,{},True
94,697,288,24136.8,2025-09-13,{},True
95,1169,177,3006.84,2024-12-03,{},True
96,1433,95,17300.91,2023-12-22,{},True
97,1862,245,6499.07,2025-07-25,{},True
98,373,380,34922.23,2024-11-05,{},True
99,392,8,333.59,2024-08-14,{},True
100,10,287,21097.47,2023-12-06,{},True
101,1820,36,27899.79,2024-11-22,{},True
102,1235,417,15209.86,2025-05-12,{},True
103,1692,153,19721.09,2024-06-01,{},True
104,935,146,23345.6,2025-05-14,{},True
105,1291,386,17536.57,2025-05-03,{},True
106,1522,318,4943.81,2025-10-15,{},True
107,1122,128,37010.33,2025-01-22,{},True
108,1955,331,19072.14,2024-02-09,{},True
109,744,22,27822.14,2024-09-18,{},True
110,1580,196,28590.24,2025-09-29,{},True
111,1362,430,7013.0,2025-05-11,{},True
112,1730,481,43232.79,2024-03-24,{},True
113,1353,1,37326.68,2024-10-15,{},True
114,682,420,6552.87,2023-12-18,{},True
115,1400,189,40152.3,2025-02-17,{},True
116,1301,343,35354.18,2025-02-21,{},True
117,1828,321,5210.01,2024-05-27,{},True
118,227,382,33413.86,2024-09-30,{},True
119,1828,385,43718.66,2024-12-10,{},True
120,728,379,20553.46,2025-08-20,{},True
121,1339,156,48923.91,2023-10-31,{},True
122,293,217,33002.7,2025-03-20,{},True
123,913,216,44822.47,2024-07-11,{},True
124,1040,14,39308.29,2023-11-28,{},True
125,1913,292,41378.83,2024-02-13,{},True
126,1945,26,36961.48,2024-05-07,{},True
127,1165,206,15145.75,2025-07-10,{},True
128,73,128,10058.93,2024-08-08,{},True
129,1683,137,8567.74,2025-02-05,{},True
130,592,432,38295.52,2024-08-05,{},True
131,1556,102,48921.72,2024-09-12,{},True
132,320,13,21537.26,2024-07-17,{},True
133,555,436,36337.13,2025-04-18,{},True
134,461,72,48916.95,2025-04-04,{},True
135,1299,35,14781.84,2024-01-20,{},True
136,452,153,43430.4,2025-08-11,{},True
137,1425,341,45288.9,2025-03-01,{},True
138,1723,393,49744.29,2025-05-25,{},True
139,426,245,3606.23,2024-06-16,{},True
140,306,456,42101.9,2025-05-07,{},True
141,546,98,39754.31,2023-11-20,{},True
142,89,312,3294.68,2024-03-08,{},True
143,1385,432,46797.2,2023-12-17,{},True
144,1093,127,32544.75,2025-06-22,{},True
145,62,317,45688.55,2024-12-23,{},True
146,1510,187,12076.47,2024-06-23,{},True
147,1983,486,3947.59,2024-12-12,{},True
148,382,84,49570.27,2025-05-18,{},True
149,335,378,43002.49,2024-08-24,{},True
150,823,142,29343.81,2025-07-01,{},True
151,577,225,27473.73,2025-09-01,{},True
152,127,223,21943.94,2025-10-05,{},True
153,1283,343,19097.73,2024-10-13,{},True
154,578,84,25337.83,2023-11-30,{},True
155,1285,480,43461.69,2025-04-14,{},True
156,76,239,49134.09,2024-07-13,{},True
157,1510,16,23037.14,2025-02-13,{},True
158,163,377,2037.67,2023-10-30,{},True
159,142,376,1881.27,2024-03-10,{},True
160,277,151,49977.15,2025-01-23,{},True
161,1987,149,26209.38,2023-11-16,{},True
162,19,191,19616.85,2024-12-30,{},True
163,1312,153,47125.11,2025-09-16,{},True
164,215,58,36957.6,2025-03-14,{},True
165,988,158,35837.07,2025-02-08,{},True
166,1338,11,1324.65,2024-08-18,{},True
167,525,300,3525.36,2025-03-23,{},True
168,112,337,48448.8,2024-03-18,{},True
169,1481,32,21994.1,2024-10-03,{},True
170,1431,99,34401.29,2023-11-01,{},True
171,1500,431,40289.84,2024-01-03,{},True
172,1880,292,8690.76,2024-01-11,{},True
173,64,146,28443.58,2024-01-28,{},True
174,426,9,35661.42,2024-05-22,{},True
175,849,149,2877.09,2024-10-28,{},True
176,543,44,6548.08,2024-03-18,{},True
177,121,235,2053.04,2024-12-03,{},True
178,1736,141,34268.64,2023-11-30,{},True
179,424,39,1509.62,2024-12-02,{},True
180,713,190,39303.01,2024-04-12,{},True
181,445,46,18253.4,2024-12-01,{},True
182,1070,263,22812.68,2024-11-22,{},True
183,649,20,19382.52,2024-05-13,{},True
184,32,395,21561.11,2025-01-21,{},True
185,1980,415,17918.29,2024-11-20,{},True
186,238,137,5844.98,2024-11-03,{},True
187,1070,117,17310.88,2025-06-23,{},True
188,148,171,20186.73,2025-09-02,{},True
189,1161,180,6066.0,2024-10-15,{},True
190,1474,68,46570.03,2024-06-12,{},True
191,972,27,34280.71,2024-07-09,{},True
192,134,176,38932.93,2024-06-14,{},True
193,1106,199,5787.17,2024-06-18,{},True
194,1976,172,6152.13,2025-09-23,{},True
195,163,465,35482.17,2024-01-24,{},True
196,357,443,36259.15,2023-11-21,{},True
197,1733,50,12839.93,2024-10-03,{},True
198,1539,190,30836.02,2024-10-05,{},True
199,540,58,1836.28,2024-05-11,{},True
200,216,332,42857.52,2023-11-22,{},True
201,1974,167,570.36,2025-04-19,{},True
202,522,489,34890.72,2024-05-30,{},True
203,1022,96,47355.04,2023-10-27,{},True
204,713,111,6118.24,2024-04-14,{},True
205,1432,19,24864.05,2025-05-31,{},True
206,1023,460,3765.37,2023-12-20,{},True
207,299,4,21963.64,2025-01-25,{},True
208,660,376,1640.47,2024-09-16,{},True
209,1328,157,16078.0,2024-02-20,{},True
210,1484,383,8881.12,2024-11-24,{},True
211,1898,11,27462.24,2025-03-20,{},True
212,895,369,39568.9,2025-09-24,{},True
213,1515,313,21454.26,2024-01-09,{},True
214,1215,66,15914.17,2024-06-22,{},True
215,1936,118,40637.69,2025-06-15,{},True
216,835,20,5001.77,2025-02-12,{},True
217,31,473,46537.38,2024-10-19,{},True
218,1507,336,30674.38,2024-05-14,{},True
219,487,401,3764.88,2024-05-27,{},True
220,1785,303,49155.91,2025-05-26,{},True
221,1934,396,35273.74,2025-02-08,{},True
222,551,396,2993.13,2025-01-02,{},True
223,1662,305,30577.29,2024-10-14,{},True
224,1035,59,8278.81,2024-03-19,{},True
225,1473,442,31235.41,2024-02-22,{},True
226,1929,363,5574.3,2024-09-23,{},True
227,1621,301,6829.08,2024-01-26,{},True
228,1436,433,39633.07,2023-11-30,{},True
229,379,265,26063.32,2024-10-20,{},True
230,1757,461,15329.9,2025-07-08,{},True
231,158,172,35513.41,2023-12-16,{},True
232,1769,463,12881.9,2025-04-11,{},True
233,308,410,17829.3,2024-12-19,{},True
234,1303,99,14927.77,2025-01-01,{},True
235,678,421,2245.42,2024-05-20,{},True
236,830,219,13066.91,2024-10-30,{},True
237,356,246,12180.3,2024-09-03,{},True
238,1919,364,21702.99,2025-10-09,{},True
239,1220,438,19716.03,2024-04-24,{},True
240,896,458,13959.13,2025-01-17,{},True
241,129,450,4196.39,2025-09-09,{},True
242,685,36,47612.11,2024-06-09,{},True
243,351,290,32045.12,2024-05-15,{},True
244,278,358,43904.48,2025-01-26,{},True
245,304,420,13590.93,2024-06-04,{},True
246,40,377,21332.04,2025-03-31,{},True
247,965,255,30895.65,2024-07-26,{},True
248,479,340,19301.42,2024-04-28,{},True
249,940,260,3379.13,2025-08-11,{},True
250,1011,2,25558.49,2024-07-02,{},True
251,1825,69,12609.63,2025-03-15,{},True
252,111,258,30503.49,2024-04-02,{},True
253,457,325,17957.6,2025-07-10,{},True
254,1467,356,43068.84,2024-08-20,{},True
255,449,98,37132.76,2023-11-04,{},True
256,199,182,22747.54,2024-06-14,{},True
257,366,29,28118.25,2024-03-22,{},True
258,1376,128,39583.08,2024-01-14,{},True
259,790,43,41440.01,2024-10-05,{},True
260,794,330,8240.58,2024-06-11,{},True
261,169,229,41321.98,2024-05-21,{},True
262,1879,78,29502.04,2024-09-09,{},True
263,1981,167,36688.24,2025-06-07,{},True
264,1392,72,19098.73,2024-09-05,{},True
265,1726,448,20088.51,2025-02-15,{},True
266,1806,350,28134.53,2025-02-06,{},True
267,1769,215,47557.7,2024-10-21,{},True
268,867,398,5562.22,2024-09-25,{},True
269,180,436,48215.12,2025-05-05,{},True
270,1136,139,132.2,2024-09-23,{},True
271,491,320,1396.95,2023-10-25,{},True
272,1164,93,32931.54,2025-01-13,{},True
273,1376,485,49970.52,2025-06-30,{},True
274,801,460,24196.19,2025-07-08,{},True
275,1552,211,1080.89,2025-03-11,{},True
276,1083,214,11464.9,2025-07-03,{},True
277,1648,106,10966.27,2025-03-20,{},True
278,1195,305,32426.15,2025-06-03,{},True
279,710,23,19586.86,2024-03-31,{},True
280,1439,208,32156.24,2025-09-03,{},True
281,1011,220,478.94,2025-03-13,{},True
282,1467,175,17743.33,2024-04-13,{},True
283,1078,331,1374.13,2024-03-04,{},True
284,76,174,41582.34,2025-09-28,{},True
285,100,348,30440.42,2025-08-26,{},True
286,1124,112,2200.4,2025-05-10,{},True
287,1282,319,9381.6,2025-07-16,{},True
288,99,355,35499.58,2024-05-22,{},True
289,1560,259,41481.09,2024-06-10,{},True
290,720,500,48170.46,2024-07-27,{},True
291,1826,221,46409.93,2025-07-05,{},True
292,639,410,3937.72,2023-10-20,{},True
293,1176,384,14431.73,2024-10-25,{},True
294,139,433,6383.88,2024-07-23,{},True
295,433,214,3338.33,2025-03-26,{},True
296,99,191,691.93,2025-02-23,{},True
297,369,306,31802.94,2025-02-24,{},True
298,1951,300,30520.52,2025-10-17,{},True
299,87,226,19976.47,2023-11-20,{},True
300,1191,61,38127.99,2024-09-22,{},True
301,1034,57,37111.67,2024-03-20,{},True
302,1844,159,30584.38,2025-01-18,{},True
303,1099,108,20682.21,2024-07-20,{},True
304,1069,135,30515.21,2024-10-14,{},True
305,486,69,41887.39,2024-08-31,{},True
306,192,231,22150.26,2024-06-06,{},True
307,1155,427,47785.25,2024-03-01,{},True
308,192,499,5989.05,2024-07-04,{},True
309,980,223,21972.37,2024-05-18,{},True
310,761,12,48453.78,2025-01-26,{},True
311,1368,405,2080.2,2025-08-30,{},True
312,386,423,24710.65,2025-06-03,{},True
313,1315,446,9993.84,2025-05-01,{},True
314,1791,54,16653.6,2025-02-11,{},True
315,913,182,32248.98,2024-09-20,{},True
316,1362,441,6657.01,2024-05-31,{},True
317,364,318,16145.99,2024-01-19,{},True
318,1467,276,12427.1,2025-04-04,{},True
319,1145,202,1837.13,2024-12-29,{},True
320,406,485,29182.68,2025-06-03,{},True
321,437,218,24810.32,2025-06-30,{},True
322,1138,220,22133.09,2025-06-12,{},True
323,738,452,19811.98,2024-11-12,{},True
324,1949,189,42678.59,2024-07-22,{},True
325,1582,407,16283.29,2025-07-23,{},True
326,154,455,15808.13,2024-06-17,{},True
327,530,339,34951.14,2024-08-20,{},True
328,1012,146,10136.88,2025-05-22,{},True
329,1914,70,24848.62,2024-03-17,{},True
330,1062,54,8580.48,2025-03-06,{},True
331,939,280,2286.01,2024-04-23,{},True
332,1693,367,1337.21,2024-01-01,{},True
333,1009,277,4495.43,2025-08-02,{},True
334,5,60,202.81,2023-11-09,{},True
335,1299,74,40120.05,2025-01-19,{},True
336,12,258,7653.68,2024-12-10,{},True
337,491,132,45335.92,2025-09-23,{},True
338,1665,394,20280.48,2024-11-01,{},True
339,1224,351,30745.17,2024-05-25,{},True
340,1182,238,17407.44,2025-01-21,{},True
341,1443,267,26761.69,2025-10-15,{},True
342,1632,182,5732.85,2025-09-19,{},True
343,821,205,4264.16,2024-05-04,{},True
344,38,256,44008.49,2024-12-09,{},True
345,534,160,13329.77,2024-05-23,{},True
346,1228,25,14070.79,2024-08-19,{},True
347,1606,303,14482.03,2024-09-11,{},True
348,1376,362,44600.71,2023-11-16,{},True
349,817,368,3790.87,2025-03-07,{},True
350,1964,332,7108.44,2025-09-17,{},True
351,1413,87,49260.28,2025-07-31,{},True
352,1413,431,44083.22,2024-08-22,{},True
353,271,221,5277.51,2024-03-18,{},True
354,698,138,39037.1,2024-09-06,{},True
355,1622,439,47327.92,2025-05-29,{},True
356,347,371,19109.17,2025-07-30,{},True
357,1528,435,9045.0,2025-09-09,{},True
358,1331,155,42578.71,2025-03-07,{},True
359,845,183,36065.49,2025-08-08,{},True
360,1198,73,45146.74,2024-03-24,{},True
361,1449,272,29408.21,2023-11-14,{},True
362,785,277,25381.77,2024-12-28,{},True
363,821,463,12546.26,2024-07-18,{},True
364,1280,295,44888.2,2025-03-27,{},True
365,1741,99,33450.34,2025-06-23,{},True
366,922,141,17646.25,2024-09-01,{},True
367,1796,311,48171.3,2023-10-27,{},True
368,1091,22,8852.46,2024-06-23,{},True
369,1109,151,27845.09,2024-05-15,{},True
370,841,44,39255.53,2025-03-24,{},True
371,623,156,12788.09,2024-05-10,{},True
372,1499,367,42368.87,2024-06-29,{},True
373,1372,347,38424.15,2024-09-07,{},True
374,1852,119,18918.24,2023-12-07,{},True
375,1320,331,1897.93,2025-03-15,{},True
376,1985,433,3143.77,2025-05-08,{},True
377,675,225,17005.56,2025-06-07,{},True
378,1594,378,23418.84,2025-02-16,{},True
379,627,227,19647.66,2024-05-29,{},True
380,443,54,26454.94,2025-06-01,{},True
381,447,335,12783.62,2024-12-19,{},True
382,1456,294,851.08,2024-11-22,{},True
383,325,147,46627.66,2025-10-02,{},True
384,340,329,24385.74,2025-09-17,{},True
385,1919,408,17127.52,2025-04-16,{},True
386,1735,104,14805.37,2024-11-09,{},True
387,1484,487,32941.21,2024-07-07,{},True
388,650,36,39485.17,2025-02-13,{},True
389,1839,492,8024.47,2024-11-20,{},True
390,1548,417,21353.61,2023-12-20,{},True
391,826,377,276.24,2025-07-26,{},True
392,1072,477,30446.19,2023-12-31,{},True
393,91,46,1035.6,2024-06-29,{},True
394,1937,457,21388.53,2025-10-03,{},True
395,650,259,44286.3,2025-03-03,{},True
396,913,258,33899.79,2025-02-14,{},True
397,1446,159,6515.26,2024-01-08,{},True
398,757,434,21106.13,2024-09-14,{},True
399,1132,67,37785.27,2025-01-01,{},True
400,448,286,40908.41,2025-05-18,{},True
401,514,360,31948.96,2025-03-06,{},True
402,86,322,32968.54,2024-10-01,{},True
403,1479,151,31319.04,2025-05-14,{},True
404,37,353,11666.48,2024-03-04,{},True
405,1177,282,20000.11,2025-04-01,{},True
406,1080,453,45262.9,2024-04-24,{},True
407,1529,130,18881.69,2024-03-01,{},True
408,1943,200,30153.53,2024-01-08,{},True
409,47,268,6034.19,2024-01-22,{},True
410,528,151,30377.62,2025-05-20,{},True
411,802,23,6915.43,2024-07-29,{},True
412,1457,208,39693.11,2025-03-20,{},True
413,462,94,34382.21,2024-06-03,{},True
414,1454,457,11185.52,2025-09-25,{},True
415,158,177,33156.69,2024-11-21,{},True
416,413,12,23994.62,2025-03-15,{},True
417,955,457,30066.14,2025-01-03,{},True
418,214,317,2170.25,2025-10-18,{},True
419,597,362,26366.56,2024-09-11,{},True
420,1017,265,21270.28,2023-11-28,{},True
421,47,39,17977.73,2025-09-29,{},True
422,1056,364,38269.12,2024-06-17,{},True
423,1642,116,45605.79,2025-02-16,{},True
424,489,477,49812.54,2024-11-10,{},True
425,1658,164,3568.45,2025-04-10,{},True
426,1242,271,7490.93,2024-07-22,{},True
427,1323,381,12610.95,2024-12-19,{},True
428,560,386,4393.75,2025-09-21,{},True
429,428,103,38948.04,2025-02-10,{},True
430,1148,267,5447.12,2025-09-09,{},True
431,1333,252,37650.51,2024-01-09,{},True
432,1451,158,7278.04,2023-11-07,{},True
433,717,13,22919.92,2025-01-15,{},True
434,1874,158,11157.56,2025-06-17,{},True
435,1729,69,2338.9,2024-03-29,{},True
436,410,305,17809.52,2025-04-09,{},True
437,1379,31,32535.73,2023-10-26,{},True
438,1644,29,22192.01,2025-05-10,{},True
439,877,229,22350.68,2025-09-11,{},True
440,682,172,79.3,2024-06-27,{},True
441,1592,165,9546.01,2025-08-08,{},True
442,1536,164,24233.89,2025-05-14,{},True
443,1860,436,31869.75,2023-11-13,{},True
444,1829,420,19220.25,2025-07-18,{},True
445,123,334,11036.31,2024-04-29,{},True
446,1759,232,10488.47,2024-04-03,{},True
447,797,35,13492.72,2025-05-26,{},True
448,1991,130,23614.55,2024-03-10,{},True
449,174,183,38235.82,2024-04-19,{},True
450,191,426,21755.66,2023-11-26,{},True
451,459,77,30810.18,2024-06-14,{},True
452,895,213,35453.71,2025-05-07,{},True
453,1314,141,25439.81,2025-09-27,{},True
454,1576,407,39782.59,2025-01-15,{},True
455,321,492,34987.62,2024-05-18,{},True
456,1337,124,20857.95,2024-04-26,{},True
457,1118,176,3805.92,2025-03-08,{},True
458,1081,83,34784.59,2023-11-18,{},True
459,1396,186,37241.78,2025-01-08,{},True
460,971,104,3055.65,2024-10-22,{},True
461,793,35,13058.59,2025-08-06,{},True
462,1869,201,1522.66,2024-01-25,{},True
463,1009,343,12783.07,2025-10-16,{},True
464,177,305,18923.76,2025-03-20,{},True
465,53,460,36298.62,2024-12-05,{},True
466,126,423,36434.07,2025-01-26,{},True
467,318,168,20645.33,2025-06-04,{},True
468,1047,405,10152.7,2025-05-22,{},True
469,1739,347,16536.03,2025-01-05,{},True
470,1230,336,46045.14,2025-06-26,{},True
471,1698,65,22333.15,2024-07-24,{},True
472,511,321,40368.05,2025-06-15,{},True
473,1141,243,23905.07,2025-09-12,{},True
474,784,169,13072.35,2025-05-21,{},True
475,275,115,14918.19,2023-10-25,{},True
476,965,391,6114.32,2024-02-06,{},True
477,706,59,44303.11,2025-05-07,{},True
478,926,140,32951.65,2025-02-11,{},True
479,14,400,6429.4,2023-12-13,{},True
480,1327,401,8210.72,2024-06-26,{},True
481,1677,183,39891.88,2024-07-30,{},True
482,1321,396,21605.47,2025-05-28,{},True
483,701,93,28525.0,2024-07-17,{},True
484,1871,342,18852.5,2025-04-04,{},True
485,742,199,8978.34,2025-01-10,{},True
486,758,390,12628.55,2023-12-19,{},True
487,1381,423,12959.97,2025-06-12,{},True
488,480,399,15282.31,2025-07-13,{},True
489,1299,496,25532.85,2025-06-27,{},True
490,1988,294,12377.74,2024-04-02,{},True
491,920,185,31027.73,2025-01-10,{},True
492,675,122,19995.55,2023-11-29,{},True
493,612,322,46958.15,2024-07-09,{},True
494,372,352,2502.28,2024-02-19,{},True
495,1185,135,21929.81,2025-07-01,{},True
496,680,132,44277.72,2024-10-06,{},True
497,1014,444,19916.09,2024-05-29,{},True
498,1033,449,35449.76,2024-01-15,{},True
499,412,313,33095.32,2025-07-01,{},True
500,1572,363,42714.71,2024-09-08,{},True
501,23,35,47246.08,2025-08-01,{},True
502,1493,336,23451.73,2024-03-26,{},True
503,1583,354,43696.23,2025-06-02,{},True
504,337,428,22341.44,2025-05-31,{},True
505,559,440,12037.84,2025-07-03,{},True
506,1107,170,45239.78,2024-08-27,{},True
507,301,444,43536.36,2024-11-22,{},True
508,924,33,42571.88,2024-05-16,{},True
509,724,394,34496.12,2025-02-24,{},True
510,478,139,32589.34,2025-02-21,{},True
511,1329,399,13362.35,2025-08-28,{},True
512,51,68,41157.32,2024-09-20,{},True
513,1270,353,33129.54,2025-05-31,{},True
514,1841,368,12041.09,2024-08-17,{},True
515,652,160,13552.32,2023-11-03,{},True
516,1736,91,40166.1,2025-08-29,{},True
517,125,80,30783.77,2024-10-14,{},True
518,1576,133,41015.51,2024-03-20,{},True
519,1097,392,420.05,2025-05-29,{},True
520,1432,218,25802.31,2025-01-25,{},True
521,789,360,36214.39,2024-12-29,{},True
522,1286,318,35576.71,2025-03-08,{},True
523,1143,326,31109.52,2023-12-15,{},True
524,1105,365,22596.39,2024-03-26,{},True
525,409,455,44862.78,2025-07-09,{},True
526,523,481,32875.64,2025-10-16,{},True
527,999,85,15401.74,2025-01-29,{},True
528,1650,239,5224.8,2024-01-04,{},True
529,719,229,27516.04,2023-12-07,{},True
530,397,246,39113.33,2025-03-31,{},True
531,1100,44,17101.8,2024-12-17,{},True
532,833,63,41952.88,2024-09-14,{},True
533,827,81,3295.64,2025-10-08,{},True
534,1002,109,18935.39,2024-09-10,{},True
535,971,433,4335.87,2024-03-11,{},True
536,1520,271,36138.66,2025-10-19,{},True
537,405,33,14623.6,2025-07-25,{},True
538,1431,328,49068.86,2024-12-07,{},True
539,1856,39,28479.8,2025-08-05,{},True
540,1728,61,19920.19,2024-08-14,{},True
541,851,444,38750.25,2024-12-10,{},True
542,247,218,8522.32,2024-01-09,{},True
543,1530,346,33067.03,2024-09-27,{},True
544,1265,371,27299.74,2025-01-27,{},True
545,1481,296,32170.31,2023-12-25,{},True
546,884,246,44000.58,2024-11-19,{},True
547,806,89,46788.83,2024-07-11,{},True
548,156,258,6973.88,2023-11-14,{},True
549,640,238,28496.42,2024-07-13,{},True
550,1289,323,9108.33,2025-04-12,{},True
551,528,253,20270.7,2024-06-17,{},True
552,1998,456,46423.3,2024-06-12,{},True
553,868,226,2168.64,2024-11-25,{},True
554,1407,234,5169.88,2024-07-01,{},True
555,1725,227,4645.51,2024-01-05,{},True
556,549,266,33296.21,2024-03-11,{},True
557,736,236,30503.74,2024-09-07,{},True
558,684,234,26862.0,2024-02-08,{},True
559,1417,89,9654.46,2023-12-14,{},True
560,647,78,29902.89,2024-05-23,{},True
561,113,14,39268.12,2024-12-14,{},True
562,388,150,37935.34,2025-02-12,{},True
563,457,398,22101.76,2024-03-24,{},True
564,515,175,13505.83,2024-10-06,{},True
565,586,245,41623.65,2025-08-02,{},True
566,1676,388,4839.45,2024-12-21,{},True
567,135,178,43796.57,2023-10-24,{},True
568,1061,96,42881.85,2025-06-24,{},True
569,1943,34,27890.71,2025-01-09,{},True
570,1693,290,16695.7,2025-02-14,{},True
571,911,48,39120.28,2025-10-14,{},True
572,1983,1,22574.8,2024-03-16,{},True
573,54,223,22837.72,2025-05-28,{},True
574,1338,219,48758.41,2023-12-28,{},True
575,1241,102,41344.05,2024-04-17,{},True
576,240,108,4904.7,2024-12-18,{},True
577,1737,201,45092.09,2024-05-04,{},True
578,610,161,12227.24,2024-02-12,{},True
579,403,99,20042.37,2024-02-20,{},True
580,607,83,17471.57,2025-06-28,{},True
581,17,438,11184.04,2025-01-25,{},True
582,739,126,12191.53,2024-04-07,{},True
583,1881,378,37380.07,2024-12-15,{},True
584,1980,90,40776.75,2024-03-10,{},True
585,182,17,5056.61,2024-09-17,{},True
586,691,486,15030.51,2024-11-14,{},True
587,827,231,16408.91,2023-10-27,{},True
588,1753,306,3497.05,2025-07-16,{},True
589,1187,302,33442.85,2025-10-02,{},True
590,734,435,28563.52,2024-11-12,{},True
591,1746,388,22477.73,2023-12-17,{},True
592,87,120,4809.87,2024-10-06,{},True
593,1649,246,143.05,2024-05-13,{},True
594,878,273,32914.45,2025-06-03,{},True
595,258,190,27615.34,2024-04-27,{},True
596,383,22,3395.34,2025-08-13,{},True
597,545,411,46142.43,2024-10-04,{},True
598,676,157,18576.25,2025-09-30,{},True
599,1648,469,43218.41,2024-01-05,{},True
600,1609,203,43745.8,2024-05-27,{},True
601,1262,262,25805.09,2025-07-14,{},True
602,1646,499,11561.01,2025-06-02,{},True
603,1026,222,11801.88,2024-12-18,{},True
604,1296,437,41628.37,2023-12-17,{},True
605,1371,160,35981.84,2024-10-12,{},True
606,1839,297,25412.56,2023-12-13,{},True
607,240,16,33101.78,2024-07-11,{},True
608,1907,489,9739.67,2025-01-18,{},True
609,271,402,20654.9,2024-07-12,{},True
610,919,390,9684.66,2025-07-22,{},True
611,286,325,1404.68,2025-05-15,{},True
612,1681,364,39226.17,2024-09-08,{},True
613,563,72,43384.04,2025-03-07,{},True
614,1189,151,7383.73,2023-11-25,{},True
615,1249,443,7049.84,2025-01-29,{},True
616,157,46,30729.56,2025-10-07,{},True
617,359,137,22372.58,2025-09-04,{},True
618,1960,109,32132.7,2025-09-08,{},True
619,1622,323,17092.85,2025-01-19,{},True
620,883,309,33201.89,2025-06-25,{},True
