id,ie_committee_id,amount,date,race_id,candidate_name,purpose,raw,created_at,is_fake
27,473,10059.08,2025-08-23,80,Larry Hayes,Media cultural many onto listen south forward.,{},2023-10-29 00:07:44,True
28,203,22279.55,2024-08-10,46,James Hancock,Huge four mission edge throughout season by.,{},2024-10-28 22:47:46,True
29,163,3093.42,2023-12-31,75,Donna Baker,Scene reality value against along force.,{},2024-08-08 15:15:39,True
30,108,37066.15,2024-01-10,9,Samuel Owens,Always that now chance everyone staff.,{},2024-06-28 14:02:06,True
31,339,8038.06,2024-01-03,15,Luis Kim Jr.,Have pressure hour water.,{},2023-12-04 00:33:27,True
32,369,32397.63,2025-07-27,39,Scott Ward,Full religious with out trouble reveal.,{},2024-11-24 10:49:51,True
33,190,39627.14,2023-12-19,29,Mark Jenkins,Focus indeed maybe past just probably.,{},2024-04-19 12:48:58,True
34,489,87540.7,2024-02-27,29,Kelli Weiss,Talk treat door.,{},2024-06-29 16:11:09,True
35,245,5847.93,2024-03-16,6,Cheyenne Morris,Include consumer once for.,{},2024-12-23 10:48:14,True
36,371,69765.58,2025-01-24,9,Valerie Patterson,Lose thank deep shake whole wrong money.,{},2025-01-22 19:56:41,True
37,341,69336.16,2024-07-11,36,Nathan Crosby,Kitchen tree election player.,{},2025-05-22 11:16:49,True
38,291,19136.75,2024-11-19,58,Julie Martinez,Cell suddenly serious travel describe star.,{},2024-05-24 05:31:27,True
39,185,41543.8,2024-10-13,4,Lee Miller,A entire heart laugh.,{},2025-04-25 10:31:00,True
40,411,50016.9,2024-09-10,30,Christopher Powell,Evening arm fund leg food maybe.,{},2023-12-26 07:33:50,True
41,4,18570.04,2025-05-01,14,Maria Marshall,Safe discussion thing data debate.,{},2023-10-27 03:21:02,True
42,362,93330.61,2025-08-05,57,Robert Wall,Old reflect stock example eat low.,{},2024-01-24 16:12:16,True
43,110,45369.11,2024-04-20,31,Penny Hayes,School ten main morning fear choose.,{},2023-12-25 00:02:03,True
44,427,59596.91,2023-11-19,82,Beth Cummings,Move power way decide black while also.,{},2025-02-14 19:14:33,True
45,338,4524.48,2025-06-04,1,Tara Turner,Room look say nation company act.,{},2024-02-09 09:44:45,True
46,51,66086.83,2025-03-20,38,Brenda Wiggins,Someone kid present five white even training.,{},2025-02-09 20:13:52,True
47,290,17263.3,2024-01-02,21,James Munoz,Blood perhaps specific radio follow.,{},2025-05-13 04:03:48,True
48,40,82725.9,2025-06-03,71,Christopher Clark,Special address happy food.,{},2024-12-22 00:20:28,True
49,316,85298.75,2024-09-10,21,Theodore Mccoy,Send after pass.,{},2023-11-24 05:33:03,True
50,487,72624.87,2025-03-30,34,Pamela Butler,Learn structure financial.,{},2024-08-24 16:55:58,True
51,8,98284.27,2025-03-09,54,Misty Benson,Significant election ten mean themselves member other.,{},2024-10-11 10:11:07,True
52,40,20950.74,2025-05-24,49,Caroline Williams,Our moment focus talk hit set property worker.,{},2024-12-03 11:08:50,True
53,172,27065.39,2025-03-08,89,Natasha Hicks,End president interest international nothing while.,{},2025-09-25 13:08:39,True
54,304,42692.97,2025-10-13,52,Thomas Clayton,Threat size fire partner even.,{},2025-07-27 07:05:42,True
55,28,17189.98,2024-04-18,84,Melvin Delacruz,First store team send teach piece lead.,{},2025-02-17 08:18:17,True
56,161,85531.74,2024-04-29,35,Kristi Nelson,Cell message big until contain catch.,{},2024-12-23 02:30:58,True
57,128,34205.01,2024-03-21,93,Brandon Smith,Economic feel bank debate yard.,{},2024-10-28 06:00:00,True
58,22,83470.49,2024-10-14,61,Claudia Jacobs,Long fall daughter follow society item.,{},2024-02-22 19:26:40,True
59,43,6508.04,2024-10-22,72,Pamela Brown,Understand kitchen new.,{},2025-01-11 00:20:01,True
60,365,85356.39,2024-10-17,5,Jane Gomez,Environment administration too Republican.,{},2025-06-08 07:03:06,True
61,490,30353.01,2024-06-17,7,Miss Monica Anderson,Like environment fire mention beat.,{},2024-02-04 12:25:02,True
62,43,89429.08,2025-06-02,96,Alexander Crane,More drop company.,{},2025-03-25 21:27:28,True
63,125,92280.12,2024-05-03,91,Christina Murphy,Trade suggest defense possible actually few within.,{},2024-05-11 03:14:37,True
64,58,57260.24,2025-10-09,42,Brian Summers,Enjoy size military fine trouble model.,{},2024-10-02 18:01:29,True
65,313,96703.92,2024-07-10,81,Joshua Jefferson,Author a into company.,{},2024-11-09 04:16:51,True
66,209,5906.0,2024-04-05,20,Jeffrey Escobar,Last leader baby fly probably.,{},2025-02-12 02:45:57,True
67,247,40682.83,2024-02-22,100,Mary Norton,Beautiful look more hold.,{},2023-11-30 15:06:56,True
68,98,79903.87,2024-09-26,90,Micheal Williams,South high class age.,{},2024-03-16 05:32:21,True
69,442,27475.61,2025-08-06,97,Eric Poole,White blood free war half.,{},2024-10-28 13:27:45,True
70,254,99669.32,2025-04-25,78,Kenneth Pearson,Anyone major long upon account.,{},2024-10-21 01:54:26,True
71,224,41772.21,2024-10-12,42,Jeffery Herrera,No word even.,{},2024-06-12 18:33:36,True
72,132,91285.5,2025-09-22,43,Jaime Patterson,Free push quickly song family dream party.,{},2024-12-21 16:57:58,True
73,193,15051.95,2025-02-17,61,Christopher Shannon,General draw mouth spring baby network.,{},2024-10-17 19:06:10,True
74,180,922.17,2025-01-18,35,Martin Murray,Audience here where cover no activity.,{},2024-07-07 13:57:08,True
75,87,18028.29,2024-11-16,52,Kristen Brown,Big what whole quickly court.,{},2024-03-23 19:44:10,True
76,443,26167.81,2024-09-14,8,Melissa Brewer,Factor environment move.,{},2024-04-01 15:45:44,True
77,199,59107.23,2025-07-13,34,Heather Sullivan,Leave onto focus stage article.,{},2024-04-17 23:00:23,True
78,340,74641.59,2025-05-29,65,Lauren West,Impact school really offer I wide kid.,{},2025-09-06 17:30:20,True
79,213,75711.44,2024-02-29,100,Katherine Hernandez,Walk good huge thought.,{},2023-11-10 22:24:19,True
80,374,76032.14,2023-12-12,44,Alyssa Aguilar,Show church include machine strong general.,{},2024-06-11 03:55:53,True
81,437,25859.47,2025-01-24,14,Jonathan Flores,White want whose half daughter determine to.,{},2024-10-31 17:04:22,True
82,379,51870.46,2024-03-03,64,Daniel Lee,Eight this life magazine pull.,{},2024-11-19 06:20:00,True
83,398,49949.99,2025-10-13,15,Crystal Sheppard,Public head Congress structure address try energy trade.,{},2024-06-18 17:10:39,True
84,154,56219.52,2024-12-20,13,Amanda Payne,Town reduce explain measure by section.,{},2024-04-26 13:36:43,True
85,196,5646.11,2025-09-20,72,Daniel Austin,Standard rate woman man trial against not.,{},2024-06-05 01:40:40,True
86,11,94730.3,2025-09-19,73,Edward Miles,Last describe lawyer dark.,{},2025-06-02 07:13:26,True
87,256,67149.31,2024-08-01,43,Seth Allison,National it effect similar ten represent.,{},2024-09-20 14:00:45,True
88,182,91057.77,2025-09-30,6,Tara Simpson,Political language concern will always.,{},2023-11-18 08:05:27,True
89,286,17123.35,2024-09-22,63,Danny Guerrero,World suddenly citizen identify partner west politics.,{},2024-03-01 14:48:41,True
90,378,54885.36,2024-03-27,42,Darren Franklin,Society sea general experience idea note.,{},2025-03-26 15:17:53,True
91,455,4759.17,2024-03-03,35,Amanda Yu,Ok president production others huge amount process shoulder.,{},2025-07-13 03:11:47,True
92,376,29040.24,2025-10-17,39,Tracy Hardin,Wait camera able effort kid very.,{},2023-12-22 02:38:36,True
93,464,98356.21,2025-07-09,96,Mark Hernandez,Blood again real only mention building case exist.,{},2024-09-04 06:51:41,True
94,71,62450.71,2024-01-07,34,Sherri Barnes,Wrong least several finally.,{},2024-07-08 01:38:55,True
95,393,14580.56,2025-07-25,52,Isabel Lopez,News total visit end since event.,{},2023-12-27 16:22:17,True
96,253,79118.29,2024-06-24,3,Lisa Graves,West ago wrong oil charge.,{},2024-03-26 02:54:27,True
97,272,53927.95,2023-11-22,90,Crystal Fitzgerald,Church relate sort response management work college crime.,{},2025-03-08 22:05:05,True
98,178,84820.1,2025-04-10,9,Joy Armstrong,Against site follow onto computer.,{},2024-01-10 18:38:57,True
99,169,81932.03,2024-02-16,30,Ashley Fisher,Morning present control bed shake.,{},2025-03-17 19:19:09,True
100,225,66941.26,2024-11-05,85,Deborah Rivers,Management beautiful improve ready likely.,{},2024-05-24 11:45:02,True
101,213,97946.97,2023-11-21,23,Miguel Chavez,Later debate enjoy wrong beautiful action firm red.,{},2025-09-13 09:04:44,True
102,211,51033.8,2025-10-17,80,Nicholas Price,Recently level network sell strategy teacher.,{},2024-02-01 06:39:16,True
103,486,99395.8,2024-07-17,6,Angel Thornton,Make all continue he score.,{},2024-02-13 00:48:44,True
104,151,14383.66,2024-03-31,9,Keith Lambert,Eight large create left.,{},2025-05-10 23:54:59,True
105,211,72589.35,2025-08-10,86,Kelsey Knapp,Raise loss baby here across study.,{},2024-01-17 12:23:40,True
106,259,11728.15,2024-05-24,20,Gary Collins,Large author town.,{},2025-10-05 03:29:49,True
107,448,90659.78,2023-10-31,1,John Carlson,Mouth suddenly recently will.,{},2025-08-02 03:10:04,True
108,228,97587.48,2025-07-18,85,Chelsea Gregory,Color account voice.,{},2024-09-17 12:10:15,True
109,276,7951.76,2025-04-27,84,Brian Ruiz,Would five yourself write continue view.,{},2025-02-24 16:12:39,True
110,6,4504.72,2025-04-22,69,Jeffrey Robinson,Team cell teach.,{},2024-02-06 11:14:01,True
111,40,90177.21,2024-12-17,29,Tyler Watts,Shake live with impact.,{},2025-05-07 14:24:40,True
112,219,36058.73,2024-07-02,61,Gerald Franco,Gun account write tonight hear central development.,{},2025-02-14 02:45:38,True
113,79,67202.17,2025-08-10,29,William Fox,Politics four TV.,{},2023-11-05 01:15:58,True
114,306,74848.99,2024-05-12,60,Curtis Fox,Rest somebody others tax reduce to.,{},2024-02-05 01:57:32,True
115,201,41170.53,2024-08-03,14,Barbara Parker,My though down nor set Mr.,{},2024-07-25 09:34:47,True
116,350,4832.42,2025-07-29,33,Tony Smith,Affect cultural tax floor tend sing.,{},2025-05-23 13:04:16,True
117,63,86568.1,2025-03-06,11,Stephen Kelley,Morning different worker wrong law from lot contain.,{},2024-02-25 02:45:36,True
118,166,3872.09,2024-04-29,64,Carrie Soto,Their newspaper share stay store ground again.,{},2024-09-22 19:36:53,True
119,222,1488.85,2025-04-17,89,Caroline Lewis,Draw record off.,{},2025-03-30 07:17:58,True
120,426,87083.93,2023-11-27,45,Jason Tran,Reality deep marriage more good.,{},2025-04-26 11:05:03,True
121,388,96157.59,2023-11-06,91,Alan Evans,Question must suddenly me wide though.,{},2025-02-14 13:10:30,True
122,381,53734.76,2024-03-19,1,Ricky Jones,Source health alone deal including watch.,{},2024-02-03 11:11:18,True
123,3,89922.32,2024-07-12,61,Wendy Lopez,Focus music space stage building.,{},2024-10-24 13:12:55,True
124,284,25117.09,2024-11-24,65,Michael Marshall,Environmental thus week task region.,{},2024-12-20 05:22:36,True
125,146,97394.47,2024-04-01,47,Charles Smith,Believe century determine never officer parent music.,{},2024-01-21 05:49:56,True
126,234,43736.4,2025-03-03,68,Paul Turner,Unit weight Mr garden too he.,{},2025-02-04 20:53:55,True
127,321,42846.63,2025-03-31,62,Alicia Espinoza,These whose capital billion civil consumer since.,{},2025-05-04 15:37:13,True
128,247,79934.77,2025-05-28,56,Rhonda Harrell,Under government figure first town show natural.,{},2025-04-03 05:47:49,True
129,220,48861.59,2024-08-02,89,Monica Quinn,To item everyone subject recently inside former.,{},2025-04-27 19:23:41,True
130,48,60450.81,2024-08-29,21,Sabrina Lane,Evidence trial eight should.,{},2024-12-31 10:29:11,True
131,409,82775.81,2024-08-26,71,Lindsay Myers,Every those special bag.,{},2025-06-19 15:08:12,True
132,389,23332.39,2024-09-30,76,Paul Hughes,Difference check none wear owner per than.,{},2023-12-11 23:48:51,True
133,443,11820.3,2024-03-13,27,Michelle Bartlett,Politics least even somebody pay thing effort why.,{},2025-10-18 04:28:02,True
134,6,95072.95,2025-06-09,76,Melissa Gilbert,Significant standard second job behind year.,{},2024-04-29 11:43:53,True
135,408,15189.39,2024-09-15,47,Vincent Le,Use senior catch.,{},2025-01-27 18:04:42,True
136,82,45302.26,2025-07-02,23,Laura Hart,Expect scientist receive throw.,{},2025-04-02 01:07:55,True
137,382,36418.02,2025-05-14,63,Kerri Matthews,Start theory company case.,{},2025-06-25 20:38:28,True
138,274,22282.59,2024-11-12,55,Anna Davis,Doctor public analysis develop.,{},2024-04-24 21:11:19,True
139,489,82892.39,2023-12-03,36,Ryan Smith,Evening cup beyond himself eye something something.,{},2024-01-24 01:25:00,True
140,402,68842.83,2024-08-30,68,Elizabeth Franco,Control class total no give feel evidence.,{},2024-01-05 06:14:56,True
141,348,57665.67,2025-07-19,22,John Rivera,Real deep law ability there decision.,{},2025-08-26 10:04:17,True
142,352,77058.96,2024-11-04,45,Brooke Combs,Forget difficult whose field affect point official.,{},2025-05-31 08:47:12,True
143,304,58441.34,2023-10-26,35,Miss Danielle Little,You record believe we.,{},2024-09-04 07:08:26,True
144,414,28728.84,2023-10-22,60,Wesley Chapman,Theory administration computer stock.,{},2025-01-29 09:39:54,True
145,322,87837.83,2025-03-15,51,Tamara Johnson,Sometimes assume move generation.,{},2024-04-09 16:31:01,True
146,303,73477.99,2024-10-16,69,Andrew Riley,Budget camera wind power security vote against.,{},2024-07-20 01:27:47,True
147,441,53996.0,2024-03-10,12,Susan Hudson,Mission like must.,{},2024-04-19 13:53:06,True
148,91,67150.18,2024-11-09,22,Earl Robbins,Day focus develop easy.,{},2024-10-12 23:42:17,True
149,176,75558.66,2024-06-01,17,Eric Bennett,Standard enjoy voice writer inside national edge.,{},2024-07-01 19:44:37,True
150,32,53258.49,2025-09-27,54,Jason Dawson,Recently off scientist include stay budget show.,{},2025-06-16 19:33:19,True
151,50,74324.52,2025-02-05,72,Michael Carpenter,More decision rather early recent myself American.,{},2023-12-30 13:12:26,True
152,277,3926.35,2023-12-17,46,Ariel Goodwin,Cover population political market peace.,{},2025-06-10 17:35:20,True
153,252,82397.87,2024-08-30,5,Matthew Barry,Admit practice easy whether bad.,{},2024-12-30 05:53:03,True
154,406,7079.36,2024-12-29,52,Jocelyn Brady,Production finish trade measure.,{},2024-08-12 09:11:42,True
155,448,64928.31,2023-10-26,92,Diana Ellis,Difficult only put east.,{},2025-03-27 19:57:36,True
156,25,73548.91,2024-02-24,51,Hunter Patterson,Support development right must.,{},2024-07-13 06:35:03,True
157,368,24171.68,2025-10-17,8,Jonathan Atkins,Thing spend weight week act indicate.,{},2024-10-24 12:04:50,True
158,116,90162.71,2023-11-25,44,Melissa Sherman,Adult what unit beat chair.,{},2025-05-15 01:42:51,True
159,317,35239.06,2023-12-21,80,Teresa Rogers,Property why together face arm nation.,{},2025-10-19 15:53:28,True
160,55,31872.17,2024-01-13,51,Ricardo Shelton,Say agree information indeed Mr practice morning certain.,{},2025-04-21 08:47:38,True
161,225,89911.17,2024-07-21,97,Denise Rice PhD,Really price drug on.,{},2024-11-30 04:21:24,True
162,40,43615.74,2025-01-15,53,Joshua Fitzpatrick,Computer safe director time mention free quality.,{},2025-02-17 15:47:25,True
163,78,98258.09,2023-12-13,52,Sarah Coleman,Either evidence present next discuss alone garden.,{},2023-10-31 07:59:09,True
164,449,80539.28,2025-02-02,45,Maria Marshall,Miss service resource true of stay together agreement.,{},2025-04-15 09:05:33,True
165,278,85979.22,2025-09-13,96,Scott Reyes,Choice can cover animal late.,{},2025-10-09 02:13:31,True
166,99,38637.46,2025-06-26,7,Justin Ortega,Its success young others responsibility.,{},2023-11-13 09:57:07,True
167,68,78076.78,2024-12-30,32,Eric Blevins,Serve stuff instead however.,{},2024-07-30 14:26:57,True
168,442,37634.09,2025-04-23,63,Kelly Fox,A establish our next be customer court relationship.,{},2024-01-10 07:13:13,True
169,97,92620.28,2024-08-26,8,George Acosta,Situation region Republican explain country imagine happen.,{},2024-01-16 23:45:00,True
170,317,14902.39,2025-09-20,42,Angel Mora,Line later model crime religious.,{},2024-05-30 01:55:20,True
171,448,27663.19,2024-07-27,6,Lisa Frank MD,Ball few suggest stay than condition help.,{},2024-03-05 06:01:49,True
172,413,55003.02,2024-12-06,3,William Richardson,Glass forget product enter benefit treat she.,{},2024-11-22 22:40:44,True
173,199,61482.99,2024-11-18,3,Christina Barr,Spring represent hit.,{},2024-11-25 07:31:08,True
174,314,43975.42,2024-03-21,60,Patrick Kemp,Job page art financial base letter.,{},2023-12-17 07:34:27,True
175,420,20510.0,2024-10-15,84,Christy Daugherty,Report onto student.,{},2024-07-07 07:04:55,True
176,442,55928.69,2025-03-04,13,Stephanie Dawson,Money arrive compare form cut.,{},2024-01-10 21:38:58,True
177,419,84030.33,2025-07-04,26,Jaime Jones,Expect debate style practice word.,{},2023-12-11 01:53:00,True
178,326,88888.98,2025-02-11,16,Shawn White,Successful product put doctor expert spring address.,{},2024-09-21 22:17:37,True
179,387,5687.11,2023-11-09,7,Clifford Johnson,Ago after state quickly Mrs soldier property travel.,{},2024-05-30 18:38:55,True
180,328,546.14,2024-02-15,50,Morgan King,Attorney possible though arm difficult.,{},2024-09-03 19:28:37,True
181,166,54037.29,2025-10-17,66,Sharon Guerra,Exactly friend tough during break any.,{},2024-06-02 00:08:01,True
182,148,99230.93,2024-07-30,31,Fernando Willis,Report trial experience final town peace mother.,{},2025-09-26 22:24:32,True
183,437,71179.21,2024-03-30,73,Mrs. Taylor Cruz PhD,Job travel spend citizen.,{},2024-12-30 15:23:14,True
184,119,95470.09,2025-07-13,97,Alyssa Stewart,Message safe gas science.,{},2024-08-04 21:26:32,True
185,3,27737.66,2024-05-16,8,Michelle Lane,Establish air even event.,{},2024-07-24 08:50:20,True
186,116,70186.13,2025-04-25,41,Shirley Quinn,Crime major own.,{},2024-02-01 18:48:36,True
187,429,65045.68,2025-06-25,54,Maria Roberts,Student I of window message step.,{},2024-11-10 06:28:41,True
188,1,70921.14,2025-01-14,78,Julie Lopez,Difficult crime stand teacher.,{},2025-03-25 02:49:59,True
189,357,85273.71,2024-11-27,81,David Johnson,Sit suffer not great economy.,{},2024-11-11 15:18:50,True
190,255,88769.66,2024-11-23,50,Tina Long,So rock where wait miss million inside.,{},2025-02-22 03:48:31,True
191,142,56566.72,2025-07-26,88,Brandi Silva,Few room learn.,{},2025-02-04 05:49:36,True
192,126,47084.03,2024-10-27,80,Timothy Shaw,Lead draw wrong business mean hand.,{},2024-02-13 09:04:23,True
193,408,630.95,2025-07-07,37,Erin Patterson,Sense form movie.,{},2024-03-08 18:07:33,True
194,240,88369.42,2025-08-19,7,William Fisher,Bank summer remain fast member.,{},2025-04-05 16:06:41,True
195,326,83051.15,2024-09-26,41,Michael Townsend,Issue brother federal business second give article suffer.,{},2024-01-04 21:36:05,True
196,383,55489.63,2024-01-12,32,Edward Brown,Range third source eye ability share.,{},2024-04-02 01:31:45,True
197,30,26354.19,2025-01-03,2,John Gonzalez,Across concern study.,{},2025-03-01 07:40:27,True
198,65,48908.48,2025-02-15,68,Christopher Simmons,When myself also with letter.,{},2024-04-06 05:58:56,True
199,296,2457.72,2024-06-02,59,Kayla Compton,Why military during son fund west respond.,{},2025-09-27 03:21:02,True
200,218,26362.24,2025-08-23,15,Christopher Flores,Occur any one world star garden.,{},2024-09-05 04:25:39,True
201,97,537.87,2024-10-25,99,Tyler Clark,Art trip cell heart.,{},2025-01-11 05:53:35,True
202,25,32132.1,2025-06-23,81,Stephen Rodriguez,Say share build approach may risk response know.,{},2025-08-23 10:05:34,True
203,408,5088.34,2025-07-17,16,Christina Fernandez,Number around plant that them.,{},2024-02-14 14:54:15,True
204,459,62356.08,2024-02-05,42,Caroline Conrad,Hotel only rather food.,{},2024-03-08 13:40:02,True
205,469,49145.12,2023-12-04,39,Jeanne Cruz,Street free minute building until century not.,{},2025-10-13 08:22:37,True
206,247,21054.12,2024-02-06,70,Michael Riley,Newspaper fight tough Mr force soon.,{},2024-06-24 22:04:35,True
207,261,77502.39,2024-05-11,70,Nicholas Wallace,Important identify hit away.,{},2024-09-20 22:12:43,True
208,145,18076.97,2024-09-04,40,Brian Lopez,Example yourself best south end article.,{},2024-05-26 12:54:14,True
209,13,38342.61,2025-10-13,66,Cody Cox II,Prevent level impact guy personal but check.,{},2025-04-27 15:43:55,True
210,85,50187.22,2024-04-14,1,Christine Ferguson,Medical defense body Mr peace fast.,{},2025-03-07 18:46:38,True
211,228,16463.27,2024-02-08,41,Felicia Vasquez,Right record page part themselves air information simply.,{},2025-05-14 08:55:03,True
212,115,18460.06,2024-03-01,48,Madison Wolfe,Age hospital cell.,{},2024-09-28 07:52:37,True
213,356,14089.53,2025-10-04,69,James Brown,Specific myself education notice rich eye.,{},2024-05-27 03:37:21,True
214,185,7389.31,2023-11-16,48,Douglas Mueller,Music agree toward cover.,{},2024-11-27 19:42:18,True
215,460,5702.99,2025-08-01,25,Mr. Keith Robles,Bar focus discuss eight arm.,{},2025-06-04 14:16:24,True
216,169,15784.41,2024-03-03,60,Jerry Taylor,Hand first environmental home majority act free.,{},2024-12-17 20:15:26,True
217,42,9277.92,2024-12-02,57,Amanda Howard,Arrive this individual.,{},2024-07-25 04:45:59,True
218,284,51063.46,2024-10-23,87,Melissa Castro,Wife hand science build table air view.,{},2025-04-09 06:15:35,True
219,390,98031.54,2024-07-03,45,Andrea Stanley,Ground amount method go.,{},2024-01-18 10:11:23,True
220,7,71983.44,2023-10-28,16,Kari Simmons,Audience number condition condition yet sign.,{},2024-01-13 22:07:19,True
221,107,98340.26,2023-12-02,80,Brittany Melendez,Up west cup ask.,{},2024-06-06 04:21:40,True
222,383,69193.57,2024-01-06,68,Jason Reed,Collection money southern especially value.,{},2024-11-16 21:21:47,True
223,326,26796.6,2025-02-09,66,Dawn Herman,Me store military camera for effort language.,{},2024-06-20 14:12:03,True
224,13,35949.74,2024-03-31,12,Olivia Gutierrez,People small turn factor performance.,{},2025-07-10 17:26:41,True
225,421,29020.38,2023-12-28,17,Patrick Cabrera,Condition with lay ball go.,{},2025-07-06 13:18:44,True
226,12,96780.58,2025-08-13,1,Joanna Klein,Boy us goal who beyond Republican down.,{},2024-10-23 10:01:32,True
227,253,25903.3,2025-03-18,6,Harold Hernandez,Human decade wind ready who measure strategy.,{},2024-01-16 04:39:39,True
228,141,73524.14,2025-05-09,48,Megan Davis,Job under me care government already least as.,{},2025-07-04 09:20:23,True
229,35,33188.93,2025-02-13,75,Mrs. Heather Palmer MD,Might technology hard cover prepare.,{},2024-11-22 10:39:21,True
230,310,91428.53,2023-12-10,28,Madison Acosta,Year even article TV unit world.,{},2024-04-24 04:28:57,True
231,111,80241.59,2025-03-26,20,Christie Medina,Off begin head from season.,{},2025-06-14 06:41:58,True
232,243,40775.87,2025-03-13,80,Laura Payne,Pick other first seek force argue my.,{},2024-02-25 11:06:13,True
233,75,78480.93,2025-10-17,49,Christopher Strickland,Other away capital west not couple group.,{},2025-09-03 23:46:44,True
234,288,57217.32,2024-08-02,75,Elizabeth Miller,But four child level every.,{},2023-11-08 03:16:09,True
235,136,44862.54,2024-10-10,66,Ashley Davis,Write each check seem return.,{},2024-11-23 00:00:23,True
236,239,83752.76,2024-10-08,26,Jason Manning,Including employee a point economy effort.,{},2024-02-18 07:20:19,True
237,22,56778.37,2025-01-17,20,Brandi Williams,Maybe lot sure value age.,{},2024-07-20 11:18:16,True
238,346,37026.29,2025-01-24,27,Lori Estes,Garden central me treatment.,{},2024-05-26 16:01:01,True
239,309,4938.86,2025-01-13,7,Madison Turner,Certainly reveal Congress score probably face.,{},2024-07-16 20:22:53,True
240,188,41336.33,2024-01-12,53,James Johnson,Talk brother car their modern.,{},2025-06-05 22:39:58,True
241,416,4632.15,2025-08-31,11,Daniel Pierce,Series top talk forward yes.,{},2024-03-25 23:48:54,True
242,77,30236.78,2023-12-12,16,Andrew Smith,Firm area work toward class necessary.,{},2025-02-25 10:50:35,True
243,105,47770.45,2024-09-22,79,Deborah Mitchell,Finish always season.,{},2024-12-18 20:38:22,True
244,433,29778.01,2024-11-08,12,John Barber,Particular artist need last.,{},2024-12-07 22:59:39,True
245,71,64553.53,2025-03-27,69,Richard Lopez,Top benefit bar.,{},2023-10-30 14:29:07,True
246,417,7044.9,2024-05-11,29,Emily Martinez,Nothing improve structure own.,{},2024-04-01 12:41:32,True
247,458,43082.36,2024-06-11,75,Sheryl Washington,Office doctor management outside official.,{},2024-02-19 19:31:18,True
248,148,86976.45,2025-03-14,56,Nicholas Galloway,Sport social suddenly lead.,{},2025-06-16 10:30:06,True
249,153,20835.47,2024-03-01,55,James Phillips,Upon prepare political however.,{},2024-03-04 11:54:18,True
250,180,67831.11,2025-07-02,25,Russell Miller,Item mind recently one.,{},2024-11-05 04:27:49,True
251,44,65812.95,2024-12-24,95,Lauren Dillon,Ten whom be without field to.,{},2025-08-15 06:12:55,True
252,496,31580.22,2024-09-04,77,James Jones,Education lead former summer site.,{},2025-01-17 14:08:04,True
